"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"124","Zinc finger, CCHC-type;Plus-3","DD","AT5G43630","AT5G43630","AT5G43630",NA,"pos",2,2,4,0,0,2,2,0,1,0,1,4,2,1,1,0,2,0,1,1,0,1,1
"125","SSF46785","UU","AT2G26150","AT2G26150","AT2G26150","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","NO_DESCRIPTION","UU","AT1G07135","AT1G07135","AT1G07135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Zinc finger, C2H2-like;Zinc finger, C2H2-like","DD","AT2G28200","AT2G28200","AT2G28200","C2H2","pos",3,1,4,1,1,3,6,0,1,1,0,7,2,0,4,2,1,1,0,1,1,0,1
"128","Protein of unknown function DUF1677, plant","DD","AT5G20670","AT5G20670","AT5G20670",NA,"pos",3,0,5,0,0,3,4,0,0,1,2,5,1,1,5,1,2,0,1,0,0,0,1
"129","NO_DESCRIPTION","UU","AT5G03995","AT5G03995","AT5G03995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","SSF46785","UU","AT3G63350","AT3G63350","AT3G63350","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","NO_DESCRIPTION","DD","AT4G31875","AT4G31875","AT4G31875",NA,"pos",0,2,1,1,1,0,3,0,0,1,0,5,1,1,2,1,1,1,1,0,0,1,0
"132","Transcription factor GRAS","DD","AT2G45160","AT2G45160","AT2G45160","GRAS","pos",3,1,3,1,1,1,3,1,3,0,0,3,2,0,2,0,1,1,0,0,1,0,0
"133","NO_DESCRIPTION","UU","AT2G30480","AT2G30480","AT2G30480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Transcriptional factor B3;Transcriptional factor B3","UU","AT2G24681","AT2G24681","AT2G24681","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","SSF52540;NOVEL00043;SSF57850;SSF52540","UU","AT1G11100","AT1G11100","AT1G11100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Transcription factor, GATA, plant","DD","AT4G36240","AT4G36240","AT4G36240","GATA","pos",0,2,3,1,1,1,3,1,2,1,2,5,1,1,1,2,1,1,1,1,0,0,1
"137","Synaptobrevin","UU","AT3G25013","AT3G25013","AT3G25013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","NO_DESCRIPTION","UU","AT3G25014","AT3G25014","AT3G25014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","PF01694","UU","AT3G59520","AT3G59520","AT3G59520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","DNA-binding, integrase-type","UU","AT1G22985","AT1G22985","AT1G22985","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","HSP20-like chaperone","UU","AT3G46230","AT3G46230","AT3G46230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Protein of unknown function DUF581","UU","AT5G47060","AT5G47060","AT5G47060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Helix-loop-helix DNA-binding","DD","AT3G07340","AT3G07340","AT3G07340","bHLH","pos",4,1,3,2,1,1,3,1,2,1,2,5,0,1,3,2,0,1,0,1,1,1,0
"144","DNA-binding, integrase-type","UU","AT2G40340","AT2G40340","AT2G40340","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","PTHR15921","UU","AT5G43620","AT5G43620","AT5G43620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Frigida-like;Frigida-like","DD","AT5G27220","AT5G27220","AT5G27220",NA,"pos",1,2,4,1,1,3,1,1,1,0,0,5,1,0,1,1,2,0,0,0,1,1,0
"147","SSF53756","DD","AT1G22360","AT1G22360","AT1G22360",NA,"pos",1,0,3,1,1,1,2,0,1,1,0,5,1,1,6,3,1,0,1,1,0,0,1
"148","No apical meristem (NAM) protein","UU","AT1G32870","AT1G32870","AT1G32870","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Zinc finger, A20-type;Zinc finger, AN1-type","UU","AT4G25380","AT4G25380","AT4G25380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","DNA-binding WRKY","UU","AT5G13080","AT5G13080","AT5G13080","WRKY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","NO_DESCRIPTION","DD","AT5G18690","AT5G18690","AT5G18690",NA,"pos",2,1,3,0,1,1,5,1,3,0,0,6,1,0,1,1,2,1,0,1,0,0,0
"152","Cyclophilin-like","UU","AT2G21130","AT2G21130","AT2G21130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","NO_DESCRIPTION","UU","AT1G15415","AT1G15415","AT1G15415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","SSF57667;SSF57667","DD","AT1G03840","AT1G03840","AT1G03840","C2H2","pos",1,1,5,2,1,2,5,1,4,0,0,6,2,1,1,1,0,1,0,1,0,1,0
"155","No apical meristem (NAM) protein","DD","AT5G14000","AT5G14000","AT5G14000","NAC","pos",2,1,3,0,0,3,4,0,2,1,0,6,1,0,6,1,2,1,1,1,0,1,0
"156","Late embryogenesis abundant protein, group 2","DD","AT3G44380","AT3G44380","AT3G44380",NA,"pos",1,1,3,1,1,2,4,1,1,1,0,6,1,0,4,1,0,1,1,1,1,0,1
"157","Homeodomain-like;Homeodomain-like","DD","AT5G07700","AT5G07700","AT5G07700","MYB","pos",0,1,4,1,1,3,5,0,2,1,1,4,2,1,3,2,1,0,1,1,0,1,1
"158","SSF81923;SSF52540;NOVEL00154;Clp ATPase, C-terminal","UU","AT1G74310","AT1G74310","AT1G74310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","DNA-binding, integrase-type","UU","AT1G33760","AT1G33760","AT1G33760","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","SSF46785","UU","AT4G36990","AT4G36990","AT4G36990","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","SSF53474","UU","AT1G74300","AT1G74300","AT1G74300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Tify;CCT domain-like","UU","AT5G13220","AT5G13220","AT5G13220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Basic-leucine zipper (bZIP) transcription factor","UU","AT1G75390","AT1G75390","AT1G75390","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Transcriptional factor B3","UU","AT5G60130","AT5G60130","AT5G60130","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Homeodomain-like","UU","AT1G17460","AT1G17460","AT1G17460","MYB_related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Homeodomain-like","UU","AT1G49560","AT1G49560","AT1G49560","G2-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Transcription factor, TCP","DD","AT4G18390","AT4G18390","AT4G18390","TCP","pos",1,2,3,1,1,2,3,0,0,0,0,4,2,0,0,0,0,0,1,1,0,0,1
"168","Protein of unknown function DUF1645","DD","AT1G70420","AT1G70420","AT1G70420",NA,"pos",4,2,3,0,0,1,1,1,2,0,0,3,1,1,3,1,0,2,0,0,0,1,0
"169","Protein of unknown function DUF702","DD","AT2G18120","AT2G18120","AT2G18120","SRS","pos",2,1,5,1,0,2,5,0,2,0,1,5,1,1,4,1,1,1,1,1,1,1,1
"170","Heavy metal transport/detoxification protein","UU","AT5G52750","AT5G52750","AT5G52750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Protein kinase-like domain","UU","AT1G74320","AT1G74320","AT1G74320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","ZF-HD homeobox protein, Cys/His-rich dimerisation domain;Homeobox domain, ZF-HD class","DD","AT5G39760","AT5G39760","AT5G39760","ZF-HD","pos",1,2,5,1,1,1,3,1,0,1,0,6,1,0,3,1,1,0,1,1,1,0,0
"173","Homeodomain-like;Homeodomain-like","UU","AT5G16600","AT5G16600","AT5G16600","MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Basic-leucine zipper (bZIP) transcription factor","UU","AT1G13600","AT1G13600","AT1G13600","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","SSF51735;SSF55347","UU","AT2G22240","AT2G22240","AT2G22240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","DNA-binding WRKY;DNA-binding WRKY","UU","AT2G38470","AT2G38470","AT2G38470","WRKY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Protein kinase-like domain;AGC-kinase, C-terminal","UU","AT3G08720","AT3G08720","AT3G08720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","DNA-binding, integrase-type;DNA-binding, integrase-type","DD","AT4G36920","AT4G36920","AT4G36920","AP2","pos",1,1,4,1,1,1,3,1,1,0,1,6,0,1,4,1,1,1,0,1,1,0,0
"179","NO_DESCRIPTION","UU","AT4G24410","AT4G24410","AT4G24410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","NO_DESCRIPTION","UU","AT1G53180","AT1G53180","AT1G53180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Transcriptional factor B3;Transcriptional factor B3;Transcriptional factor B3;NOVEL00238","UU","AT4G31615","AT4G31615","AT4G31615","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","CCT domain","UU","AT5G41380","AT5G41380","AT5G41380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","DNA-binding, integrase-type","UU","AT4G34410","AT4G34410","AT4G34410","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Protein of unknown function DUF1645","UU","AT2G26530","AT2G26530","AT2G26530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","SSF54001;SSF57277","DD","AT3G19390","AT3G19390","AT3G19390",NA,"pos",2,1,6,2,1,1,4,0,0,0,0,4,1,1,1,1,1,1,0,1,0,0,0
"186","Helix-loop-helix DNA-binding","DD","AT3G61950","AT3G61950","AT3G61950","bHLH","pos",2,1,3,1,1,0,1,1,0,0,0,3,0,1,3,1,2,2,1,0,0,1,1
"187","DNA-binding, integrase-type","UU","AT5G05410","AT5G05410","AT5G05410","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","UU","AT3G08590","AT3G08590","AT3G08590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","NO_DESCRIPTION","DD","AT1G66480","AT1G66480","AT1G66480",NA,"pos",3,0,3,2,1,2,1,0,0,1,0,4,0,1,1,1,2,1,0,1,0,0,1
"190","SSF51905","DD","AT4G15765","AT4G15765","AT4G15765",NA,"pos",2,2,4,1,1,2,3,0,0,0,1,7,1,1,5,1,1,1,0,1,0,0,0
"191","SSF46785","UU","AT4G18880","AT4G18880","AT4G18880","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","NO_DESCRIPTION","UU","AT4G31380","AT4G31380","AT4G31380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Transcription factor GRAS","DD","AT3G54220","AT3G54220","AT3G54220","GRAS","pos",2,1,2,0,1,2,3,0,1,0,0,4,2,1,4,0,2,1,1,0,1,0,0
"194","SSF57850","UU","AT2G40830","AT2G40830","AT2G40830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Acyl transferase/acyl hydrolase/lysophospholipase","UU","AT2G26560","AT2G26560","AT2G26560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Zinc finger, B-box;CCT domain","UU","AT1G49130","AT1G49130","AT1G49130","CO-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","SSF54928","UU","AT4G24420","AT4G24420","AT4G24420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","NOVEL00077;Plant regulator RWP-RK;Octicosapeptide/Phox/Bem1p","UU","AT1G20640","AT1G20640","AT1G20640","Nin-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","PTHR10483","UU","AT2G20720","AT2G20720","AT2G20720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","NOVEL00014","UU","AT2G32210","AT2G32210","AT2G32210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","DNA-binding, integrase-type","DD","AT2G22200","AT2G22200","AT2G22200","ERF","pos",3,1,3,2,1,1,4,1,2,0,1,6,0,1,1,0,1,0,1,0,1,0,0
"202","Basic-leucine zipper (bZIP) transcription factor","UU","AT3G10800","AT3G10800","AT3G10800","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Ribosomal protein L27e","DD","AT2G32220","AT2G32220","AT2G32220",NA,"pos",0,1,4,1,1,1,3,0,1,1,2,2,1,0,2,3,1,0,0,1,0,1,1
"204","DNA-binding, integrase-type","DD","AT2G46310","AT2G46310","AT2G46310","ERF","pos",1,1,3,1,1,2,3,0,0,1,1,5,1,1,3,2,1,1,0,1,1,0,1
"205","Protein kinase-like domain","UU","AT3G56600","AT3G56600","AT3G56600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","BTB/POZ fold;NPH3","DD","AT3G26490","AT3G26490","AT3G26490",NA,"pos",1,1,5,1,1,2,3,0,0,1,0,6,1,0,4,2,1,1,0,1,1,0,0
"207","Homeodomain-like;Homeodomain-like","DD","AT1G22640","AT1G22640","AT1G22640","MYB","pos",3,2,5,0,1,0,3,1,2,1,0,7,1,1,1,2,3,2,1,1,0,1,1
"208","Mpv17/PMP22","UU","AT4G33905","AT4G33905","AT4G33905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","NO_DESCRIPTION","DD","AT1G36940","AT1G36940","AT1G36940",NA,"pos",2,2,6,1,1,2,4,0,0,1,0,5,2,0,4,1,3,0,1,1,1,1,0
"210","Major intrinsic protein","UU","AT2G37180","AT2G37180","AT2G37180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Zinc finger, Dof-type","UU","AT5G62430","AT5G62430","AT5G62430","Dof",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","No apical meristem (NAM) protein","UU","AT1G01720","AT1G01720","AT1G01720","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","SSF52768","UU","AT1G08460","AT1G08460","AT1G08460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Predicted AT-hook DNA-binding","UU","AT5G49700","AT5G49700","AT5G49700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Chaperonin clpA/B","UU","AT2G25140","AT2G25140","AT2G25140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","NO_DESCRIPTION","UU","AT1G59865","AT1G59865","AT1G59865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","NOVEL00014","UU","AT2G32200","AT2G32200","AT2G32200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","HSP20-like chaperone","UU","AT1G59860","AT1G59860","AT1G59860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Helix-loop-helix DNA-binding","DD","AT4G36540","AT4G36540","AT4G36540","bHLH","pos",0,0,6,1,1,2,1,1,2,0,1,4,1,0,3,1,1,1,1,1,0,1,1
"220","NO_DESCRIPTION","DD","AT2G46940","AT2G46940","AT2G46940",NA,"pos",0,0,3,1,1,1,4,0,2,0,0,2,1,1,1,2,1,0,1,1,1,0,1
"221","SSF54928","DD","AT1G22330","AT1G22330","AT1G22330",NA,"pos",1,0,3,1,1,1,4,1,1,1,0,7,2,0,1,0,1,0,0,1,0,1,1
"222","Protein of unknown function DUF789","UU","AT4G03420","AT4G03420","AT4G03420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Major facilitator superfamily, general substrate transporter","DD","AT4G02050","AT4G02050","AT4G02050",NA,"pos",1,0,3,0,1,0,3,0,0,1,1,5,0,0,4,1,2,1,1,0,0,0,0
"224","Transcription factor, MADS-box;Transcription factor, K-box","UU","AT4G22950","AT4G22950","AT4G22950","MIKC_MADS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","NO_DESCRIPTION","UU","AT1G44414","AT1G44414","AT1G44414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Homeodomain-like;Homeodomain-like","DD","AT1G76890","AT1G76890","AT1G76890","Trihelix","pos",4,0,4,2,1,2,5,0,1,1,1,6,1,1,2,3,1,1,1,1,0,1,1
"227","Major facilitator superfamily, general substrate transporter","DD","AT3G20660","AT3G20660","AT3G20660",NA,"pos",2,2,4,2,1,2,2,0,1,1,0,4,1,1,3,1,1,0,1,1,0,1,1
"228","SSF53335","DD","AT1G01180","AT1G01180","AT1G01180",NA,"pos",1,0,3,0,1,0,0,1,4,1,1,3,1,1,2,2,1,1,1,0,0,1,0
"229","Late embryogenesis abundant protein, group 2","DD","AT2G30505","AT2G30505","AT2G30505",NA,"pos",0,1,3,1,1,2,2,0,2,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"230","Basic-leucine zipper (bZIP) transcription factor","UU","AT1G42990","AT1G42990","AT1G42990","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","GOLD","UU","AT1G26690","AT1G26690","AT1G26690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Pentatricopeptide repeat;Pentatricopeptide repeat","UU","AT3G46870","AT3G46870","AT3G46870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Homeodomain-like","UU","AT3G11260","AT3G11260","AT3G11260","WOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","SSF51905;SSF54373","UU","AT2G43020","AT2G43020","AT2G43020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Homeodomain-like;Homeodomain-like","DD","AT5G61420","AT5G61420","AT5G61420","MYB","pos",0,2,5,2,1,2,4,0,4,0,0,3,1,1,1,0,3,1,1,1,1,0,1
"236","SSF52058","DD","AT3G20820","AT3G20820","AT3G20820",NA,"pos",2,1,6,2,1,2,3,0,1,0,0,5,2,2,3,0,0,1,1,1,0,1,1
"237","HSP20-like chaperone","UU","AT4G27670","AT4G27670","AT4G27670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","SSF52058","UU","AT5G66890","AT5G66890","AT5G66890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Transcription factor GRAS","DD","AT4G00150","AT4G00150","AT4G00150","GRAS","pos",1,2,4,0,1,1,3,1,1,1,0,4,0,2,4,1,1,2,0,1,1,0,0
"240","HTH transcriptional regulator, Myb-type, DNA-binding;HTH transcriptional regulator, Myb-type, DNA-binding","DD","AT3G47600","AT3G47600","AT3G47600","MYB","pos",3,2,5,2,1,1,2,1,0,1,0,5,1,0,4,1,1,2,1,1,1,0,1
"241","No apical meristem (NAM) protein","DD","AT5G13180","AT5G13180","AT5G13180","NAC","pos",1,1,4,1,1,2,4,0,3,1,1,7,1,1,3,3,2,1,0,1,0,0,0
"242","C2 calcium/lipid-binding domain, CaLB","UU","AT1G53590","AT1G53590","AT1G53590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Protein kinase-like domain","UU","AT5G66880","AT5G66880","AT5G66880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","NO_DESCRIPTION","UU","AT5G19480","AT5G19480","AT5G19480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","NO_DESCRIPTION","UU","AT4G27657","AT4G27657","AT4G27657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","LPS-induced tumor necrosis factor alpha factor","UU","AT5G13190","AT5G13190","AT5G13190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Ubiquitin fusion degradation protein UFD1","UU","AT4G15420","AT4G15420","AT4G15420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Homeodomain-like","UU","AT5G01380","AT5G01380","AT5G01380","Trihelix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
